19.82113, 151.1189, 146.8513, 146.2649, 148.5765, 131.6101, 4.800855, 10.17079, 11.01258, 16.67652, 141.9693, 141.528, 141.4571, 143.7846, 130.1623, 3.679616, 8.579361, 10.81003, 0
19.61658, 151.3793, 147.3105, 146.6469, 149.043, 131.1538, 4.286605, 10.04604, 10.64882, 17.43979, 142.7591, 142.4009, 142.4274, 144.9511, 130.5802, 3.346382, 8.333406, 10.65918, 0
19.39688, 151.2498, 147.0183, 146.4993, 148.8668, 131.3988, 4.532547, 9.994677, 10.81847, 16.33974, 143.0807, 142.7842, 142.6974, 145.1456, 130.8561, 3.571825, 8.381666, 10.56853, 0
18.30475, 150.882, 146.6279, 146.0051, 148.2969, 132.2498, 4.483667, 10.15468, 10.73576, 15.84452, 142.6523, 142.5078, 142.1684, 144.6231, 130.7014, 3.64626, 8.519241, 10.70287, 0
18.59609, 150.307, 146.1398, 145.4981, 147.8678, 132.6157, 4.046898, 10.45869, 11.13839, 16.1003, 142.4344, 142.3164, 142.0841, 144.5079, 130.6554, 3.679509, 8.504383, 10.65946, 0
20.01668, 149.8561, 145.8055, 145.5304, 147.8204, 131.9167, 4.13228, 10.19977, 10.97225, 15.81957, 142.6582, 142.283, 142.0304, 144.3967, 131.0515, 3.518363, 8.4031, 10.75329, 0
19.95028, 149.9054, 146.1547, 145.7804, 148.0723, 131.8727, 3.519086, 10.20247, 10.59812, 15.87738, 143.8302, 143.7378, 143.5497, 146.1752, 130.8859, 3.239544, 8.230296, 10.40501, 0
18.15605, 149.8742, 145.439, 145.0961, 147.8474, 132.1467, 3.619473, 10.75257, 11.53176, 16.80233, 142.8371, 142.8326, 142.4406, 145.289, 130.1196, 3.538339, 8.28655, 10.89965, 0
19.99854, 150.0881, 145.8002, 145.4988, 148.1232, 132.4016, 3.842622, 10.73651, 11.51752, 16.78034, 142.2696, 142.2844, 142.0929, 144.8201, 129.8868, 3.616226, 8.260277, 10.90122, 0
18.62314, 150.6757, 146.2482, 145.9133, 148.5226, 133.417, 4.058013, 10.70864, 11.5078, 16.31025, 142.3268, 142.4397, 142.3184, 145.2424, 130.3348, 3.35783, 8.234208, 10.91962, 0
16.76941, 150.6468, 146.1769, 145.7446, 148.5557, 133.9342, 3.920465, 10.62512, 11.69691, 15.56455, 142.5933, 142.6467, 142.4457, 145.1689, 130.6503, 3.606846, 8.299879, 10.90822, 0
15.84038, 150.6657, 146.2982, 145.8456, 148.7856, 133.9887, 3.566943, 10.58734, 11.35995, 15.13452, 142.6575, 142.7033, 142.5575, 145.3513, 130.887, 3.511176, 8.301606, 10.6513, 0
16.08623, 150.2465, 145.8772, 145.566, 148.5988, 133.9262, 3.597061, 10.45557, 11.323, 14.8733, 142.8019, 142.6724, 142.4267, 145.1442, 131.0694, 3.461645, 8.29536, 10.49803, 0
13.99589, 150.7199, 146.6649, 146.1578, 148.7389, 135.4189, 4.551393, 10.12388, 10.48676, 16.34664, 142.4126, 142.5539, 142.3266, 145.1683, 130.3724, 3.352052, 8.127143, 10.81942, 0
15.51342, 151.3583, 147.0792, 146.4507, 149.243, 134.6876, 4.387625, 10.37578, 10.86664, 15.81129, 141.9801, 142.1692, 142.068, 144.9188, 130.4375, 3.59472, 8.162313, 10.73986, 0
15.3104, 150.6123, 146.8603, 146.2785, 149.2689, 134.2216, 4.038954, 10.27094, 11.03901, 16.14203, 142.5489, 142.3878, 142.2642, 145.0887, 130.5449, 3.274528, 8.147554, 10.47752, 0
15.7315, 150.4519, 146.5787, 146.0238, 149.0712, 133.826, 3.612813, 10.61573, 11.28249, 18.17565, 143.1367, 143.1101, 141.9507, 144.9568, 130.3448, 3.222275, 8.328126, 10.71013, 0
13.98134, 151.5412, 147.8643, 147.1932, 150.3498, 134.1795, 3.72431, 10.75309, 11.16137, 20.28178, 143.3491, 143.27, 142.1701, 145.3208, 130.883, 2.942377, 8.177116, 10.47424, 0
11.86603, 151.7089, 147.4994, 146.8344, 149.9757, 135.0283, 3.628981, 10.17487, 10.6513, 18.65412, 143.6285, 143.3709, 142.6305, 145.7665, 131.1159, 2.681098, 8.093423, 10.22949, 0
