0.835 (+/-0.547) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'adam'}
0.811 (+/-0.601) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'lbfgs'}
0.860 (+/-0.569) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'sgd'}
0.904 (+/-0.571) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'adam'}
0.888 (+/-0.221) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'lbfgs'}
0.842 (+/-0.589) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'sgd'}
0.977 (+/-0.133) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'adam'}
0.915 (+/-0.331) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'lbfgs'}
0.959 (+/-0.244) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'sgd'}
1.000 (+/-0.000) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'adam'}
0.735 (+/-0.405) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'lbfgs'}
0.936 (+/-0.263) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'sgd'}
0.958 (+/-0.250) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'adam'}
0.900 (+/-0.471) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'lbfgs'}
0.956 (+/-0.178) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'sgd'}
0.912 (+/-0.215) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 5000, 'solver': 'adam'}
0.800 (+/-0.539) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 5000, 'solver': 'lbfgs'}
0.976 (+/-0.142) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 5000, 'solver': 'sgd'}
0.956 (+/-0.178) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 10000, 'solver': 'adam'}
0.828 (+/-0.355) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 10000, 'solver': 'lbfgs'}
0.977 (+/-0.133) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 10000, 'solver': 'sgd'}
0.935 (+/-0.272) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 2500, 'solver': 'adam'}
0.791 (+/-0.466) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 2500, 'solver': 'lbfgs'}
0.933 (+/-0.203) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 2500, 'solver': 'sgd'}
0.956 (+/-0.178) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 5000, 'solver': 'adam'}
0.815 (+/-0.464) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 5000, 'solver': 'lbfgs'}
0.912 (+/-0.216) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 5000, 'solver': 'sgd'}
0.838 (+/-0.563) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'solver': 'adam'}
nan (+/-nan) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'solver': 'lbfgs'}
0.883 (+/-0.572) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'solver': 'sgd'}
0.884 (+/-0.278) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 2500, 'solver': 'adam'}
0.820 (+/-0.580) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 2500, 'solver': 'lbfgs'}
0.904 (+/-0.571) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 2500, 'solver': 'sgd'}
0.847 (+/-0.418) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 5000, 'solver': 'adam'}
0.814 (+/-0.483) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 5000, 'solver': 'lbfgs'}
0.955 (+/-0.178) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 5000, 'solver': 'sgd'}
0.736 (+/-0.720) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 10000, 'solver': 'adam'}
0.867 (+/-0.280) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 10000, 'solver': 'lbfgs'}
0.977 (+/-0.137) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 10000, 'solver': 'sgd'}
0.794 (+/-0.528) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 2500, 'solver': 'adam'}
0.717 (+/-0.323) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 2500, 'solver': 'lbfgs'}
0.976 (+/-0.133) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 2500, 'solver': 'sgd'}
0.872 (+/-0.336) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 5000, 'solver': 'adam'}
0.685 (+/-0.751) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 5000, 'solver': 'lbfgs'}
0.934 (+/-0.270) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 5000, 'solver': 'sgd'}
0.637 (+/-0.646) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'adam'}
0.838 (+/-0.468) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'lbfgs'}
0.933 (+/-0.203) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'sgd'}
1.000 (+/-0.000) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'adam'}
0.853 (+/-0.376) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'lbfgs'}
0.231 (+/-0.293) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'sgd'}
1.000 (+/-0.000) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'adam'}
0.958 (+/-0.250) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'lbfgs'}
0.376 (+/-0.284) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'sgd'}
1.000 (+/-0.000) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'adam'}
0.956 (+/-0.174) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'lbfgs'}
0.255 (+/-0.316) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'sgd'}
1.000 (+/-0.000) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'adam'}
0.956 (+/-0.178) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'lbfgs'}
0.823 (+/-0.472) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'sgd'}
0.978 (+/-0.133) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 5000, 'solver': 'adam'}
0.978 (+/-0.133) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 5000, 'solver': 'lbfgs'}
0.807 (+/-0.383) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 5000, 'solver': 'sgd'}
1.000 (+/-0.000) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 10000, 'solver': 'adam'}
